Date,Value
20200321,3.9327
20200320,4.0501
20200323,4.2801
20200322,3.9717
20200324,4.2116
20190310,4.5016
20190311,4.6864
20200208,2.2949
20200209,2.2511
20190314,4.6655
20190315,4.9253
20190316,4.7105
20190317,4.5057
20200202,2.3636
20200203,2.5575
20200201,2.6711
20200206,2.1963
20200207,2.2752
20200204,2.4701
20200205,2.3909
20200129,3.1776
20200128,3.5848
20200123,5.234
20200122,5.3764
20200121,5.358
20200120,5.3707
20200127,3.9779
20200126,4.6622
20200125,4.5297
20200124,4.9479
20200311,3.5304
20190130,4.7187
20200217,2.3996
20200108,4.958
20200219,2.5573
20200218,2.5024
20190303,4.4789
20190302,4.5648
20190301,4.8212
20190307,4.5368
20190306,4.4456
20190305,4.6247
20190304,4.5412
20200215,2.0207
20200214,2.2189
20190309,4.3876
20200216,2.0275
20200211,2.4684
20200210,2.5014
20200213,2.4611
20200212,2.4467
20190224,4.1236
20190225,4.4606
20190226,4.411
20190227,4.5908
20190220,4.7569
20190221,4.5763
20190222,4.5243
20190223,4.2606
20200116,5.2062
20200117,5.2842
20200114,5.092
20200115,5.1671
20190228,4.7572
20200113,5.0695
20200110,5.2149
20200111,4.7961
20190308,4.913
20200101,4.8425
20200103,5.1716
20200102,5.0847
20200105,4.5502
20200104,4.7441
20200107,4.8194
20200106,4.5343
20200109,5.04
20190131,4.9205
20200118,4.8593
20200119,5.1491
20190312,4.6558
20190328,4.4279
20190313,4.7069
20190321,4.6047
20190320,4.6586
20190323,4.5294
20190322,4.8331
20190325,4.7467
20190324,4.5351
20190327,4.6464
20190326,4.6331
20190208,4.7654
20190209,4.3227
20190202,4.9253
20190203,4.4432
20190201,4.7341
20190206,4.9454
20190207,4.7366
20190204,4.6871
20190205,4.8162
20190318,4.6947
20190129,4.7652
20190128,4.8108
20190319,4.7244
20190123,4.5752
20190122,4.5569
20190121,4.5842
20190120,4.1507
20190127,4.2705
20190126,4.3088
20190125,4.5519
20190124,4.6155
20190219,4.4551
20190218,4.6712
20190215,4.0468
20190214,3.8977
20190217,4.0265
20190216,4.1212
20190211,4.7485
20190210,4.7176
20190213,4.7168
20190212,4.6358
20190118,4.6256
20190119,4.2784
20190116,4.5472
20190117,4.5864
20190114,4.6168
20190115,4.5724
20190112,4.3441
20190113,4.2975
20200310,3.3824
20200112,4.7042
20200312,3.4383
20200313,3.5973
20200314,3.4418
20200315,3.5554
20200316,3.8632
20200317,3.8941
20200318,3.8154
20200319,3.9222
20200303,2.9263
20200302,3.0461
20200301,2.6771
20200307,3.052
20200306,3.0282
20200305,3.1901
20200304,3.0962
20200309,3.3805
20200308,3.0457
20200224,3.0719
20200225,3.0357
20200226,3.0512
20200227,2.875
20200220,2.5411
20200221,2.5508
20200222,2.4806
20200223,2.5898
20200228,2.9298
20200229,2.7823
20200130,3.1116
20200131,2.8346
